"","Common.Name","FlockingWinter"
"1","AmericanCrow",1
"2","AmericanRobin",1
"3","AnnasHummingbird",0
"4","BewicksWren",0
"5","BrownCreeper",0
"6","Bushtit",1
"7","CanadaGoose",1
"8","ChestnutBackedChickadee",1
"9","CommonRaven",0
"10","CoopersHawk",0
"11","DarkEyedJunco",1
"12","DownyWoodpecker",0
"13","EurasianCollaredDove",1
"14","EuropeanStarling",1
"15","FoxSparrow",0
"16","GlaucousWingedGull",1
"17","GoldenCrownedKinglet",1
"18","GoldenCrownedSparrow",1
"19","HermitThrush",0
"20","HouseFinch",0
"21","Mallard",1
"22","Merlin",0
"23","NorthernFlicker",0
"24","PacificWren",0
"25","PileatedWoodpecker",0
"26","PineSiskin",1
"27","PurpleFinch",0
"28","RedBreastedNuthatch",0
"29","RedCrossbill",1
"30","RedTailedHawk",0
"31","RubyCrownedKinglet",0
"32","SharpShinnedHawk",0
"33","SongSparrow",0
"34","SpottedTowhee",0
"35","StellersJay",1
"36","VariedThrush",1
